"row ID","class","new column"
"Row0","0.1","tinto"
"Row1","0.1","tinto"
"Row8","0.1","tinto"
"Row11","0.1","tinto"
"Row12","0.1","tinto"
"Row17","0.1","tinto"
"Row21","0.1","tinto"
"Row29","0.1","tinto"
"Row32","0.1","tinto"
"Row36","0.1","tinto"
"Row38","0.1","tinto"
"Row40","0.1","tinto"
"Row42","0.1","tinto"
"Row47","0.1","tinto"
"Row50","0.1","tinto"
"Row51","0.1","tinto"
"Row56","0.1","tinto"
"Row69","0.2","claro"
"Row71","0.2","claro"
"Row72","0.2","claro"
"Row77","0.2","claro"
"Row79","0.2","claro"
"Row82","0.2","claro"
"Row90","0.2","claro"
"Row94","0.2","claro"
"Row95","0.2","claro"
"Row99","0.2","claro"
"Row100","0.2","claro"
"Row104","0.2","claro"
"Row107","0.2","claro"
"Row110","0.2","claro"
"Row111","0.2","claro"
"Row112","0.2","claro"
"Row115","0.2","claro"
"Row121","0.2","claro"
"Row122","0.2","claro"
"Row123","0.2","claro"
"Row131","0.30000000000000004","0.30000000000000004"
"Row133","0.30000000000000004","0.30000000000000004"
"Row134","0.30000000000000004","0.30000000000000004"
"Row138","0.30000000000000004","0.30000000000000004"
"Row142","0.30000000000000004","0.30000000000000004"
"Row143","0.30000000000000004","0.30000000000000004"
"Row146","0.30000000000000004","0.30000000000000004"
"Row147","0.30000000000000004","0.30000000000000004"
"Row150","0.30000000000000004","0.30000000000000004"
"Row152","0.30000000000000004","0.30000000000000004"
"Row165","0.30000000000000004","0.30000000000000004"
"Row167","0.30000000000000004","0.30000000000000004"
"Row168","0.30000000000000004","0.30000000000000004"
"Row171","0.30000000000000004","0.30000000000000004"
"Row173","0.30000000000000004","0.30000000000000004"
"Row174","0.30000000000000004","0.30000000000000004"
"Row177","0.30000000000000004","0.30000000000000004"
